key,en,pt-BR,es,fr,de,it,nl,fi,pl,cs,tr,ja,ko,hi
about.philosophy,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.philosophyText,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.principle1,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.principle2,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.principle3,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.principle4,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.principles,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.purpose,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.purposeText,T,T,T,T,T,T,T,T,T,T,T,T,T,T
about.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
app.tagline,T,T,T,T,T,T,T,T,T,T,T,T,T,T
app.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.back,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.change,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.day,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.days,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.error,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.from,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.loading,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.loadingPhases.current,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.loadingPhases.manifest,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.loadingPhases.previous,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.loadingPhases.recent,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.loadingPhases.remaining,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.month,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.apr,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.aug,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.dec,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.feb,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.jan,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.jul,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.jun,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.mar,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.may,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.nov,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.oct,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsLong.sep,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.apr,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.aug,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.dec,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.feb,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.jan,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.jul,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.jun,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.mar,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.may,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.nov,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.oct,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.monthsShort.sep,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.price,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.retry,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.to,T,T,T,T,T,T,T,T,T,T,T,T,T,T
common.year,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.details.avgMonthlyGain,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.details.totalGain,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.errors.invalidAmount,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.errors.selectDate,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.insights.disciplineText,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.insights.disciplineTitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.insights.drawdownText,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.insights.drawdownTitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.monthlyAmount,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.results.currentValue,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.results.daysInDrawdown,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.results.longestStreak,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.results.pnl,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.results.total,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.results.totalBTC,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.results.totalInvested,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.simulate,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.startDate,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.subtitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
dca.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
details.finalMessage,T,T,T,T,T,T,T,T,T,T,T,T,T,T
details.intro,T,T,T,T,T,T,T,T,T,T,T,T,T,T
details.keyInsight,T,T,T,T,T,T,T,T,T,T,T,T,T,T
details.noteText,T,T,T,T,T,T,T,T,T,T,T,T,T,T
details.noteTitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
details.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.bitcoinOnChain,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.createdBy,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.creatorDescription,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.disclaimer,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.donationMessage,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.errorLoading,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.lightningNetwork,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.linkedin,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.projectDescription,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.projectTitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.starOnGitHub,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.supportProject,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.tagline,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.twitter,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.keyMessage,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem1.text,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem1.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem2.text,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem2.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem3.text,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem3.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.scrollDown,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.subtitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.contribution,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.insight,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.subtitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.top10,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.top100,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.top50,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.conclusion,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.what,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.why,T,T,T,T,T,T,T,T,T,T,T,T,T,T
main.dcaSimulation,T,T,T,T,T,T,T,T,T,T,T,T,T,T
main.ifYouHadInvested,T,T,T,T,T,T,T,T,T,T,T,T,T,T
main.monthlyProgression,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line1,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line2,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line3,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line4,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line5,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line6,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line7,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line8,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.about,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.dca,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.keyDays,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.overview,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.currentMonth,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.daysLateral,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.daysNegative,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.daysPositive,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.loadMore,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.months,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.of,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.recentMonths,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regime,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.BEAR,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.BULL,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.LATERAL,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.N/A,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.showAll,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.showing,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.subtitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
settings.currency,T,T,T,T,T,T,T,T,T,T,T,T,T,T
settings.language,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.conclusion,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.intro,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.warning,T,T,T,T,T,T,T,T,T,T,T,T,T,T
